"","Robos_vivienda","Robos_personas","distancia_estacion_policia"
"5203",156,1609,298.380914288432
"5204",156,1609,1194.95881189763
"5205",156,1609,395.144888955376
"5206",156,1609,1331.09935516542
"5207",156,1609,727.864205343923
"5208",156,1609,1195.90034819823
"5209",156,1609,735.152087344024
"5210",156,1609,567.146222436438
"5211",156,1609,1075.20062800546
"5212",156,1609,849.20967265312
"5213",156,1609,1665.10478544471
"5214",156,1609,1019.52974026246
"5215",156,1609,1332.42937670763
"5216",156,1609,672.511241766707
"5217",156,1609,702.365031781824
"5218",156,1609,793.473390054198
"5219",156,1609,1097.90813222871
"5220",21,1094,226.512731686882
"5221",8,201,430.532063033636
"5222",21,1094,112.739056151194
"5223",101,1202,291.055504919225
"5224",21,1094,286.198342065918
"5225",101,1202,601.439961569924
"5226",21,1094,132.227301950923
"5227",21,1094,274.005545885918
"5228",57,985,565.964554168711
"5229",21,1094,35.7278135967869
"5230",101,1202,300.272368267374
"5231",101,1202,457.871995210843
"5232",101,1202,612.654576607565
"5233",88,1055,833.528594337317
"5234",88,1055,261.426026120214
"5235",88,1055,213.95802834694
"5236",53,926,445.455158496888
"5237",53,926,259.799328255234
"5238",88,1055,491.286572514588
"5239",88,1055,350.104173847481
"5240",88,1055,407.039970854148
"5241",53,926,253.582366902452
"5242",53,926,150.171999031416
"5243",88,1055,365.689633973478
"5244",53,926,344.053491102855
"5245",88,1055,647.315102418623
"5246",53,926,435.138367836346
"5247",88,1055,435.308765899483
"5248",88,1055,435.308765899483
"5249",88,1055,642.718335657003
"5250",88,1055,239.356686108142
"5251",53,926,534.812124381892
"5252",53,926,629.140232366793
"5253",53,926,425.855647766362
"5254",53,926,377.907433283781
"5255",88,1055,358.595733399457
"5256",88,1055,218.042301159156
"5257",53,926,405.378925809268
"5258",53,926,633.984777670305
"5259",239,2612,912.472709483493
"5260",239,2612,463.529573700199
"5261",239,2612,366.891077373977
"5262",105,1440,546.613561942195
"5263",239,2612,279.260325196965
"5264",239,2612,413.779759447222
"5265",105,1440,782.650656372051
"5266",105,1440,123.044741391138
"5267",105,1440,655.307965975104
"5268",105,1440,752.190641854023
"5269",105,1440,284.85375101827
"5270",105,1440,401.913603386122
"5271",239,2612,610.70839951392
"5272",105,1440,728.699517727227
"5273",105,1440,195.246692969986
"5274",239,2612,120.28819255881
"5275",88,1055,1030.51405276643
"5276",105,1440,823.693213289991
"5277",105,1440,728.699517727227
"5278",105,1440,825.169887022202
"5279",239,2612,438.490752935461
"5280",105,1440,640.506458518643
"5281",105,1440,303.998638090362
"5282",239,2612,265.911756812053
"5283",239,2612,613.220470028777
"5284",239,2612,791.24826844297
"5285",105,1440,821.434568754227
"5286",88,1055,990.012974536816
"5287",239,2612,166.312091286867
"5288",239,2612,507.394610726084
"5289",239,2612,1011.9785855843
"5290",239,2612,432.633749761247
"5291",239,2612,545.307899555513
"5292",233,2337,1471.71620931612
"5293",233,2337,576.325068932579
"5294",233,2337,760.788327510949
"5295",233,2337,795.722173524039
"5296",233,2337,752.422097158411
"5297",233,2337,175.649078874547
"5298",233,2337,379.402001813591
"5299",233,2337,806.525873135364
"5300",233,2337,560.240782034895
"5301",233,2337,374.389965138827
"5302",233,2337,812.97084008261
"5303",233,2337,621.39888581475
"5304",233,2337,523.626659644671
"5305",233,2337,741.160273075515
"5306",273,2652,323.77168793488
"5307",273,2652,843.350929323159
"5308",273,2652,605.27909711517
"5309",273,2652,535.872436531697
"5310",273,2652,686.939750814343
"5311",156,1609,933.198157807778
"5312",156,1609,183.698415032108
"5313",156,1609,894.528731302588
"5314",156,1609,472.251581707529
"5315",273,2652,827.887439026737
"5316",156,1609,970.62118312257
"5317",156,1609,565.871999660053
"5318",156,1609,780.671369954603
"5319",53,926,545.234936895818
"5320",156,1609,171.393497991245
"5321",88,1055,395.540944760346
"5322",156,1609,580.644800443152
"5323",156,1609,1354.33096077276
"5324",156,1609,739.62980745941
"5325",156,1609,633.762551521424
"5326",156,1609,1144.78564520876
"5327",156,1609,1279.35231307774
"5328",233,2337,619.52246199902
"5329",233,2337,1414.78492861407
"5330",156,1609,778.284013491271
"5331",88,1055,285.047009057435
"5332",156,1609,905.221557766979
"5333",156,1609,779.020920115009
"5334",156,1609,869.209076434552
"5335",156,1609,941.238859962516
"5336",156,1609,665.732701064702
"5337",105,1124,963.543421888927
